,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
0,2,0,,"{'loss': 2.218046606573075, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [0], 'decay': [0], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [0], 'num_topics': [0], 'offset': [0]}, 'vals': {'alpha': [6], 'decay': [7], 'eta': [1], 'gamma_threshold': [10], 'minimum_probability': [0], 'num_topics': [11.0], 'offset': [5]}}",,,0,2021-05-03 20:07:15.558,2021-05-03 20:07:46.225,0.06,0.51,auto,0.0001,0.1,11.0,1024,2.218046606573075,ok
1,2,1,,"{'loss': 2.0815242474484927, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [1], 'decay': [1], 'eta': [1], 'gamma_threshold': [1], 'minimum_probability': [1], 'num_topics': [1], 'offset': [1]}, 'vals': {'alpha': [7], 'decay': [8], 'eta': [0], 'gamma_threshold': [10], 'minimum_probability': [5], 'num_topics': [15.0], 'offset': [1]}}",,,0,2021-05-03 20:07:46.230,2021-05-03 20:08:19.129,0.04,0.50001,,0.0001,0.001,15.0,4,2.0815242474484927,ok
2,2,2,,"{'loss': 1.6975357837922587, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [2], 'decay': [2], 'eta': [2], 'gamma_threshold': [2], 'minimum_probability': [2], 'num_topics': [2], 'offset': [2]}, 'vals': {'alpha': [13], 'decay': [4], 'eta': [1], 'gamma_threshold': [0], 'minimum_probability': [1], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 20:08:19.134,2021-05-03 20:08:44.710,0.0001,0.7,auto,0.02,0.05,10.0,64,1.6975357837922587,ok
3,2,3,,"{'loss': 1.8477750189694704, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [3], 'decay': [3], 'eta': [3], 'gamma_threshold': [3], 'minimum_probability': [3], 'num_topics': [3], 'offset': [3]}, 'vals': {'alpha': [9], 'decay': [6], 'eta': [0], 'gamma_threshold': [12], 'minimum_probability': [6], 'num_topics': [15.0], 'offset': [3]}}",,,0,2021-05-03 20:08:44.715,2021-05-03 20:09:20.982,0.01,0.55,,1e-05,0.0005,15.0,64,1.8477750189694704,ok
4,2,4,,"{'loss': 1.814435031833553, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [4], 'decay': [4], 'eta': [4], 'gamma_threshold': [4], 'minimum_probability': [4], 'num_topics': [4], 'offset': [4]}, 'vals': {'alpha': [0], 'decay': [2], 'eta': [1], 'gamma_threshold': [5], 'minimum_probability': [7], 'num_topics': [12.0], 'offset': [0]}}",,,0,2021-05-03 20:09:20.986,2021-05-03 20:09:53.433,0.5,0.9,auto,0.001,0.0001,12.0,1,1.814435031833553,ok
5,2,5,,"{'loss': 1.6559859838302675, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [5], 'decay': [5], 'eta': [5], 'gamma_threshold': [5], 'minimum_probability': [5], 'num_topics': [5], 'offset': [5]}, 'vals': {'alpha': [7], 'decay': [1], 'eta': [1], 'gamma_threshold': [5], 'minimum_probability': [6], 'num_topics': [8.0], 'offset': [2]}}",,,0,2021-05-03 20:09:53.439,2021-05-03 20:10:23.655,0.04,0.95,auto,0.001,0.0005,8.0,16,1.6559859838302675,ok
6,2,6,,"{'loss': 1.8993765349390774, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [6], 'decay': [6], 'eta': [6], 'gamma_threshold': [6], 'minimum_probability': [6], 'num_topics': [6], 'offset': [6]}, 'vals': {'alpha': [8], 'decay': [6], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [5], 'num_topics': [14.0], 'offset': [4]}}",,,0,2021-05-03 20:10:23.659,2021-05-03 20:10:55.798,0.02,0.55,auto,0.0006,0.001,14.0,256,1.8993765349390774,ok
7,2,7,,"{'loss': 1.820925702930532, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [7], 'decay': [7], 'eta': [7], 'gamma_threshold': [7], 'minimum_probability': [7], 'num_topics': [7], 'offset': [7]}, 'vals': {'alpha': [1], 'decay': [7], 'eta': [1], 'gamma_threshold': [1], 'minimum_probability': [3], 'num_topics': [10.0], 'offset': [2]}}",,,0,2021-05-03 20:10:55.804,2021-05-03 20:11:22.942,0.4,0.51,auto,0.01,0.01,10.0,16,1.820925702930532,ok
8,2,8,,"{'loss': 2.2946387292347876, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [8], 'decay': [8], 'eta': [8], 'gamma_threshold': [8], 'minimum_probability': [8], 'num_topics': [8], 'offset': [8]}, 'vals': {'alpha': [7], 'decay': [0], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [3], 'num_topics': [11.0], 'offset': [5]}}",,,0,2021-05-03 20:11:22.947,2021-05-03 20:11:36.939,0.04,0.99,auto,0.0006,0.01,11.0,1024,2.2946387292347876,ok
9,2,9,,"{'loss': 1.8411238286501665, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [9], 'decay': [9], 'eta': [9], 'gamma_threshold': [9], 'minimum_probability': [9], 'num_topics': [9], 'offset': [9]}, 'vals': {'alpha': [8], 'decay': [6], 'eta': [0], 'gamma_threshold': [3], 'minimum_probability': [0], 'num_topics': [11.0], 'offset': [2]}}",,,0,2021-05-03 20:11:36.945,2021-05-03 20:12:05.223,0.02,0.55,,0.003,0.1,11.0,16,1.8411238286501665,ok
