,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,num_topics,loss,status
0,2,0,,"{'loss': 1.9083266637209846, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [0]}, 'vals': {'num_topics': [19.0]}}",,,0,2021-05-03 20:31:27.858,2021-05-03 20:32:01.591,19.0,1.9083266637209846,ok
1,2,1,,"{'loss': 1.8564283347623425, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [1]}, 'vals': {'num_topics': [9.0]}}",,,0,2021-05-03 20:32:01.592,2021-05-03 20:32:32.096,9.0,1.8564283347623425,ok
2,2,2,,"{'loss': 2.1155874570666366, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [2]}, 'vals': {'num_topics': [20.0]}}",,,0,2021-05-03 20:32:32.099,2021-05-03 20:33:05.346,20.0,2.1155874570666366,ok
3,2,3,,"{'loss': 1.9083266637209846, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [3]}, 'vals': {'num_topics': [19.0]}}",,,0,2021-05-03 20:33:05.348,2021-05-03 20:33:39.122,19.0,1.9083266637209846,ok
4,2,4,,"{'loss': 1.7870784934784683, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [4]}, 'vals': {'num_topics': [12.0]}}",,,0,2021-05-03 20:33:39.124,2021-05-03 20:34:10.913,12.0,1.7870784934784683,ok
5,2,5,,"{'loss': 2.408567598678157, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [5]}, 'vals': {'num_topics': [13.0]}}",,,0,2021-05-03 20:34:10.915,2021-05-03 20:34:43.757,13.0,2.408567598678157,ok
6,2,6,,"{'loss': 2.2056920731010043, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [6]}, 'vals': {'num_topics': [17.0]}}",,,0,2021-05-03 20:34:43.759,2021-05-03 20:35:16.977,17.0,2.2056920731010043,ok
7,2,7,,"{'loss': 1.7870784934784683, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [7]}, 'vals': {'num_topics': [12.0]}}",,,0,2021-05-03 20:35:16.978,2021-05-03 20:35:48.796,12.0,1.7870784934784683,ok
8,2,8,,"{'loss': 2.1587042019902207, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [8]}, 'vals': {'num_topics': [18.0]}}",,,0,2021-05-03 20:35:48.797,2021-05-03 20:36:22.248,18.0,2.1587042019902207,ok
9,2,9,,"{'loss': 1.7864515841405797, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [9]}, 'vals': {'num_topics': [15.0]}}",,,0,2021-05-03 20:36:22.250,2021-05-03 20:36:55.730,15.0,1.7864515841405797,ok
10,2,10,,"{'loss': 2.408567598678157, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [10]}, 'vals': {'num_topics': [13.0]}}",,,0,2021-05-03 20:36:55.732,2021-05-03 20:37:27.543,13.0,2.408567598678157,ok
11,2,11,,"{'loss': 1.7524946434226465, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [11]}, 'vals': {'num_topics': [11.0]}}",,,0,2021-05-03 20:37:27.545,2021-05-03 20:37:59.321,11.0,1.7524946434226465,ok
12,2,12,,"{'loss': 1.6676963770785913, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [12]}, 'vals': {'num_topics': [7.0]}}",,,0,2021-05-03 20:37:59.323,2021-05-03 20:38:29.165,7.0,1.6676963770785913,ok
13,2,13,,"{'loss': 2.1587042019902207, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [13]}, 'vals': {'num_topics': [18.0]}}",,,0,2021-05-03 20:38:29.167,2021-05-03 20:39:02.578,18.0,2.1587042019902207,ok
14,2,14,,"{'loss': 1.9083266637209846, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [14]}, 'vals': {'num_topics': [19.0]}}",,,0,2021-05-03 20:39:02.580,2021-05-03 20:39:36.172,19.0,1.9083266637209846,ok
