,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
10,2,10,,"{'loss': 2.4644349708266624, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [10], 'decay': [10], 'eta': [10], 'gamma_threshold': [10], 'minimum_probability': [10], 'num_topics': [10], 'offset': [10]}, 'vals': {'alpha': [11], 'decay': [3], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [2], 'num_topics': [14.0], 'offset': [0]}}",,,0,2021-05-03 20:45:54.617,2021-05-03 20:46:28.924,0.001,0.8,,0.0008,0.02,14.0,1,2.4644349708266624,ok
11,2,11,,"{'loss': 2.0191371415071915, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [11], 'decay': [11], 'eta': [11], 'gamma_threshold': [11], 'minimum_probability': [11], 'num_topics': [11], 'offset': [11]}, 'vals': {'alpha': [0], 'decay': [2], 'eta': [0], 'gamma_threshold': [7], 'minimum_probability': [4], 'num_topics': [13.0], 'offset': [2]}}",,,0,2021-05-03 20:46:28.928,2021-05-03 20:47:05.266,0.5,0.9,,0.0006,0.005,13.0,16,2.0191371415071915,ok
12,2,12,,"{'loss': 2.31160304199516, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [12], 'decay': [12], 'eta': [12], 'gamma_threshold': [12], 'minimum_probability': [12], 'num_topics': [12], 'offset': [12]}, 'vals': {'alpha': [1], 'decay': [7], 'eta': [1], 'gamma_threshold': [0], 'minimum_probability': [5], 'num_topics': [15.0], 'offset': [1]}}",,,0,2021-05-03 20:47:05.271,2021-05-03 20:47:29.002,0.4,0.51,auto,0.02,0.001,15.0,4,2.31160304199516,ok
13,2,13,,"{'loss': 2.05905611269811, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [13], 'decay': [13], 'eta': [13], 'gamma_threshold': [13], 'minimum_probability': [13], 'num_topics': [13], 'offset': [13]}, 'vals': {'alpha': [2], 'decay': [5], 'eta': [0], 'gamma_threshold': [9], 'minimum_probability': [4], 'num_topics': [10.0], 'offset': [4]}}",,,0,2021-05-03 20:47:29.007,2021-05-03 20:48:03.248,0.3,0.6,,0.0002,0.005,10.0,256,2.05905611269811,ok
14,2,14,,"{'loss': 2.0440957497534256, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [14], 'decay': [14], 'eta': [14], 'gamma_threshold': [14], 'minimum_probability': [14], 'num_topics': [14], 'offset': [14]}, 'vals': {'alpha': [13], 'decay': [4], 'eta': [1], 'gamma_threshold': [6], 'minimum_probability': [0], 'num_topics': [12.0], 'offset': [0]}}",,,0,2021-05-03 20:48:03.253,2021-05-03 20:48:36.504,0.0001,0.7,auto,0.0008,0.1,12.0,1,2.0440957497534256,ok
15,2,15,,"{'loss': 2.43216297805306, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [15], 'decay': [15], 'eta': [15], 'gamma_threshold': [15], 'minimum_probability': [15], 'num_topics': [15], 'offset': [15]}, 'vals': {'alpha': [10], 'decay': [5], 'eta': [0], 'gamma_threshold': [4], 'minimum_probability': [5], 'num_topics': [10.0], 'offset': [5]}}",,,0,2021-05-03 20:48:36.509,2021-05-03 20:49:04.747,0.005,0.6,,0.002,0.001,10.0,1024,2.43216297805306,ok
16,2,16,,"{'loss': 2.4922500201020634, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [16], 'decay': [16], 'eta': [16], 'gamma_threshold': [16], 'minimum_probability': [16], 'num_topics': [16], 'offset': [16]}, 'vals': {'alpha': [10], 'decay': [6], 'eta': [1], 'gamma_threshold': [3], 'minimum_probability': [6], 'num_topics': [15.0], 'offset': [0]}}",,,0,2021-05-03 20:49:04.752,2021-05-03 20:49:35.970,0.005,0.55,auto,0.003,0.0005,15.0,1,2.4922500201020634,ok
17,2,17,,"{'loss': 2.290182318380293, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [17], 'decay': [17], 'eta': [17], 'gamma_threshold': [17], 'minimum_probability': [17], 'num_topics': [17], 'offset': [17]}, 'vals': {'alpha': [8], 'decay': [3], 'eta': [0], 'gamma_threshold': [5], 'minimum_probability': [4], 'num_topics': [8.0], 'offset': [4]}}",,,0,2021-05-03 20:49:35.975,2021-05-03 20:50:01.275,0.02,0.8,,0.001,0.005,8.0,256,2.290182318380293,ok
18,2,18,,"{'loss': 2.0454474090225334, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [18], 'decay': [18], 'eta': [18], 'gamma_threshold': [18], 'minimum_probability': [18], 'num_topics': [18], 'offset': [18]}, 'vals': {'alpha': [0], 'decay': [6], 'eta': [0], 'gamma_threshold': [12], 'minimum_probability': [7], 'num_topics': [15.0], 'offset': [5]}}",,,0,2021-05-03 20:50:01.279,2021-05-03 20:50:40.847,0.5,0.55,,1e-05,0.0001,15.0,1024,2.0454474090225334,ok
19,2,19,,"{'loss': 2.44474496484329, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [19], 'decay': [19], 'eta': [19], 'gamma_threshold': [19], 'minimum_probability': [19], 'num_topics': [19], 'offset': [19]}, 'vals': {'alpha': [0], 'decay': [8], 'eta': [1], 'gamma_threshold': [0], 'minimum_probability': [2], 'num_topics': [15.0], 'offset': [0]}}",,,0,2021-05-03 20:50:40.852,2021-05-03 20:51:02.727,0.5,0.50001,auto,0.02,0.02,15.0,1,2.44474496484329,ok
