,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
10,2,10,,"{'loss': 7.959651286900826, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [10], 'decay': [10], 'eta': [10], 'gamma_threshold': [10], 'minimum_probability': [10], 'num_topics': [10], 'offset': [10]}, 'vals': {'alpha': [1], 'decay': [5], 'eta': [1], 'gamma_threshold': [10], 'minimum_probability': [0], 'num_topics': [11.0], 'offset': [5]}}",,,0,2021-05-03 21:22:14.561,2021-05-03 21:23:00.854,0.4,0.6,auto,0.0001,0.1,11.0,1024,7.959651286900826,ok
11,2,11,,"{'loss': 7.753800052142608, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [11], 'decay': [11], 'eta': [11], 'gamma_threshold': [11], 'minimum_probability': [11], 'num_topics': [11], 'offset': [11]}, 'vals': {'alpha': [1], 'decay': [7], 'eta': [1], 'gamma_threshold': [3], 'minimum_probability': [6], 'num_topics': [9.0], 'offset': [3]}}",,,0,2021-05-03 21:23:00.859,2021-05-03 21:23:44.022,0.4,0.51,auto,0.003,0.0005,9.0,64,7.753800052142608,ok
12,2,12,,"{'loss': 7.733294090303, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [12], 'decay': [12], 'eta': [12], 'gamma_threshold': [12], 'minimum_probability': [12], 'num_topics': [12], 'offset': [12]}, 'vals': {'alpha': [2], 'decay': [8], 'eta': [1], 'gamma_threshold': [11], 'minimum_probability': [7], 'num_topics': [13.0], 'offset': [3]}}",,,0,2021-05-03 21:23:44.026,2021-05-03 21:24:32.828,0.3,0.50001,auto,5e-05,0.0001,13.0,64,7.733294090303,ok
13,2,13,,"{'loss': 8.297604918951599, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [13], 'decay': [13], 'eta': [13], 'gamma_threshold': [13], 'minimum_probability': [13], 'num_topics': [13], 'offset': [13]}, 'vals': {'alpha': [1], 'decay': [0], 'eta': [0], 'gamma_threshold': [9], 'minimum_probability': [5], 'num_topics': [14.0], 'offset': [5]}}",,,0,2021-05-03 21:24:32.833,2021-05-03 21:25:02.719,0.4,0.99,,0.0002,0.001,14.0,1024,8.297604918951599,ok
14,2,14,,"{'loss': 7.7505139197243915, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [14], 'decay': [14], 'eta': [14], 'gamma_threshold': [14], 'minimum_probability': [14], 'num_topics': [14], 'offset': [14]}, 'vals': {'alpha': [7], 'decay': [0], 'eta': [1], 'gamma_threshold': [10], 'minimum_probability': [1], 'num_topics': [8.0], 'offset': [2]}}",,,0,2021-05-03 21:25:02.723,2021-05-03 21:25:46.037,0.04,0.99,auto,0.0001,0.05,8.0,16,7.7505139197243915,ok
15,2,15,,"{'loss': 7.739329860735676, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [15], 'decay': [15], 'eta': [15], 'gamma_threshold': [15], 'minimum_probability': [15], 'num_topics': [15], 'offset': [15]}, 'vals': {'alpha': [5], 'decay': [5], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [2], 'num_topics': [8.0], 'offset': [2]}}",,,0,2021-05-03 21:25:46.042,2021-05-03 21:26:28.737,0.08,0.6,auto,0.0006,0.02,8.0,16,7.739329860735676,ok
16,2,16,,"{'loss': 7.749184499563208, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [16], 'decay': [16], 'eta': [16], 'gamma_threshold': [16], 'minimum_probability': [16], 'num_topics': [16], 'offset': [16]}, 'vals': {'alpha': [8], 'decay': [7], 'eta': [0], 'gamma_threshold': [5], 'minimum_probability': [2], 'num_topics': [12.0], 'offset': [0]}}",,,0,2021-05-03 21:26:28.742,2021-05-03 21:27:08.556,0.02,0.51,,0.001,0.02,12.0,1,7.749184499563208,ok
17,2,17,,"{'loss': 7.736397731492829, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [17], 'decay': [17], 'eta': [17], 'gamma_threshold': [17], 'minimum_probability': [17], 'num_topics': [17], 'offset': [17]}, 'vals': {'alpha': [11], 'decay': [8], 'eta': [1], 'gamma_threshold': [4], 'minimum_probability': [7], 'num_topics': [13.0], 'offset': [4]}}",,,0,2021-05-03 21:27:08.561,2021-05-03 21:27:50.403,0.001,0.50001,auto,0.002,0.0001,13.0,256,7.736397731492829,ok
18,2,18,,"{'loss': 7.8704154365012355, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [18], 'decay': [18], 'eta': [18], 'gamma_threshold': [18], 'minimum_probability': [18], 'num_topics': [18], 'offset': [18]}, 'vals': {'alpha': [7], 'decay': [2], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [5], 'num_topics': [16.0], 'offset': [3]}}",,,0,2021-05-03 21:27:50.407,2021-05-03 21:28:31.328,0.04,0.9,,0.0008,0.001,16.0,64,7.8704154365012355,ok
19,2,19,,"{'loss': 7.975281702847725, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [19], 'decay': [19], 'eta': [19], 'gamma_threshold': [19], 'minimum_probability': [19], 'num_topics': [19], 'offset': [19]}, 'vals': {'alpha': [6], 'decay': [3], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [1], 'num_topics': [13.0], 'offset': [4]}}",,,0,2021-05-03 21:28:31.332,2021-05-03 21:29:10.177,0.06,0.8,,0.0008,0.05,13.0,256,7.975281702847725,ok
