,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
10,2,10,,"{'loss': 1.7825956657430704, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [10], 'decay': [10], 'eta': [10], 'gamma_threshold': [10], 'minimum_probability': [10], 'num_topics': [10], 'offset': [10]}, 'vals': {'alpha': [0], 'decay': [0], 'eta': [0], 'gamma_threshold': [5], 'minimum_probability': [6], 'num_topics': [14.0], 'offset': [4]}}",,,0,2021-05-03 23:19:52.584,2021-05-03 23:20:20.210,0.5,0.99,,0.001,0.0005,14.0,256,1.7825956657430704,ok
11,2,11,,"{'loss': 1.806505694612211, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [11], 'decay': [11], 'eta': [11], 'gamma_threshold': [11], 'minimum_probability': [11], 'num_topics': [11], 'offset': [11]}, 'vals': {'alpha': [9], 'decay': [5], 'eta': [0], 'gamma_threshold': [7], 'minimum_probability': [1], 'num_topics': [13.0], 'offset': [0]}}",,,0,2021-05-03 23:20:20.215,2021-05-03 23:20:57.249,0.01,0.6,,0.0006,0.05,13.0,1,1.806505694612211,ok
12,2,12,,"{'loss': 1.685172837688138, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [12], 'decay': [12], 'eta': [12], 'gamma_threshold': [12], 'minimum_probability': [12], 'num_topics': [12], 'offset': [12]}, 'vals': {'alpha': [1], 'decay': [6], 'eta': [0], 'gamma_threshold': [8], 'minimum_probability': [6], 'num_topics': [9.0], 'offset': [3]}}",,,0,2021-05-03 23:20:57.254,2021-05-03 23:21:35.899,0.4,0.55,,0.0004,0.0005,9.0,64,1.685172837688138,ok
13,2,13,,"{'loss': 1.835954583847604, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [13], 'decay': [13], 'eta': [13], 'gamma_threshold': [13], 'minimum_probability': [13], 'num_topics': [13], 'offset': [13]}, 'vals': {'alpha': [9], 'decay': [1], 'eta': [0], 'gamma_threshold': [5], 'minimum_probability': [3], 'num_topics': [11.0], 'offset': [0]}}",,,0,2021-05-03 23:21:35.904,2021-05-03 23:22:13.849,0.01,0.95,,0.001,0.01,11.0,1,1.835954583847604,ok
14,2,14,,"{'loss': 1.994854688861064, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [14], 'decay': [14], 'eta': [14], 'gamma_threshold': [14], 'minimum_probability': [14], 'num_topics': [14], 'offset': [14]}, 'vals': {'alpha': [7], 'decay': [2], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [3], 'num_topics': [15.0], 'offset': [5]}}",,,0,2021-05-03 23:22:13.855,2021-05-03 23:22:33.374,0.04,0.9,auto,0.0006,0.01,15.0,1024,1.994854688861064,ok
15,2,15,,"{'loss': 2.321709418139951, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [15], 'decay': [15], 'eta': [15], 'gamma_threshold': [15], 'minimum_probability': [15], 'num_topics': [15], 'offset': [15]}, 'vals': {'alpha': [11], 'decay': [0], 'eta': [0], 'gamma_threshold': [8], 'minimum_probability': [4], 'num_topics': [9.0], 'offset': [2]}}",,,0,2021-05-03 23:22:33.379,2021-05-03 23:23:09.655,0.001,0.99,,0.0004,0.005,9.0,16,2.321709418139951,ok
16,2,16,,"{'loss': 2.283477954022978, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [16], 'decay': [16], 'eta': [16], 'gamma_threshold': [16], 'minimum_probability': [16], 'num_topics': [16], 'offset': [16]}, 'vals': {'alpha': [3], 'decay': [3], 'eta': [1], 'gamma_threshold': [3], 'minimum_probability': [7], 'num_topics': [11.0], 'offset': [3]}}",,,0,2021-05-03 23:23:09.660,2021-05-03 23:23:43.976,0.2,0.8,auto,0.003,0.0001,11.0,64,2.283477954022978,ok
17,2,17,,"{'loss': 1.755089376433664, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [17], 'decay': [17], 'eta': [17], 'gamma_threshold': [17], 'minimum_probability': [17], 'num_topics': [17], 'offset': [17]}, 'vals': {'alpha': [8], 'decay': [2], 'eta': [0], 'gamma_threshold': [4], 'minimum_probability': [3], 'num_topics': [13.0], 'offset': [0]}}",,,0,2021-05-03 23:23:43.980,2021-05-03 23:24:18.534,0.02,0.9,,0.002,0.01,13.0,1,1.755089376433664,ok
18,2,18,,"{'loss': 2.3309709309306443, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [18], 'decay': [18], 'eta': [18], 'gamma_threshold': [18], 'minimum_probability': [18], 'num_topics': [18], 'offset': [18]}, 'vals': {'alpha': [1], 'decay': [7], 'eta': [1], 'gamma_threshold': [8], 'minimum_probability': [2], 'num_topics': [15.0], 'offset': [0]}}",,,0,2021-05-03 23:24:18.540,2021-05-03 23:24:58.484,0.4,0.51,auto,0.0004,0.02,15.0,1,2.3309709309306443,ok
19,2,19,,"{'loss': 2.4779091000654243, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [19], 'decay': [19], 'eta': [19], 'gamma_threshold': [19], 'minimum_probability': [19], 'num_topics': [19], 'offset': [19]}, 'vals': {'alpha': [11], 'decay': [8], 'eta': [0], 'gamma_threshold': [8], 'minimum_probability': [3], 'num_topics': [13.0], 'offset': [4]}}",,,0,2021-05-03 23:24:58.489,2021-05-03 23:25:35.236,0.001,0.50001,,0.0004,0.01,13.0,256,2.4779091000654243,ok
